Date,Rate
6/14/1982,9.398571429
6/21/1982,9.524285714
6/28/1982,9.564285714
7/5/1982,9.558571429
7/12/1982,9.611428571
7/19/1982,9.585714286
7/26/1982,9.502857143
8/2/1982,9.544285714
8/9/1982,9.601428571
8/16/1982,9.594285714
8/23/1982,9.548571429
8/30/1982,9.545714286
9/6/1982,9.574285714
9/13/1982,9.64
9/20/1982,9.66
9/27/1982,9.661428571
10/4/1982,9.712857143
10/11/1982,9.687142857
10/18/1982,9.668571429
10/25/1982,9.701428571
11/1/1982,9.725714286
11/8/1982,9.75
11/15/1982,9.785714286
11/22/1982,9.831428571
11/29/1982,9.827142857
12/6/1982,9.66
12/13/1982,9.714285714
12/20/1982,9.701428571
12/27/1982,9.722857143
1/3/1983,9.634285714
1/10/1983,9.698571429
1/17/1983,9.794285714
1/24/1983,9.847142857
1/31/1983,9.89
2/7/1983,9.951428571
2/14/1983,9.882857143
2/21/1983,9.892857143
2/28/1983,9.944285714
3/7/1983,9.955714286
3/14/1983,9.944285714
3/21/1983,9.942857143
3/28/1983,9.985714286
4/4/1983,10.02428571
4/11/1983,9.985714286
4/18/1983,9.975714286
4/25/1983,9.991428571
5/2/1983,9.99
5/9/1983,9.984285714
5/16/1983,9.974285714
5/23/1983,10.01142857
5/30/1983,10.00714286
6/6/1983,10
6/13/1983,10.00857143
6/20/1983,10.06571429
6/27/1983,10.08857143
7/4/1983,10.09142857
7/11/1983,10.05142857
7/18/1983,10.11285714
7/25/1983,10.08285714
8/1/1983,10.12428571
8/8/1983,10.18857143
8/15/1983,10.20428571
8/22/1983,10.17857143
8/29/1983,10.20571429
9/5/1983,10.21571429
9/12/1983,10.19714286
9/19/1983,10.20142857
9/26/1983,10.19571429
10/3/1983,10.20142857
10/10/1983,10.20857143
10/17/1983,10.20428571
10/24/1983,10.22857143
10/31/1983,10.28285714
11/7/1983,10.31
11/14/1983,10.34285714
11/21/1983,10.40571429
11/28/1983,10.42142857
12/5/1983,10.42142857
12/12/1983,10.45428571
12/19/1983,10.49428571
12/26/1983,10.57571429
1/2/1984,10.50857143
1/9/1984,10.69285714
1/16/1984,10.72714286
1/23/1984,10.71142857
1/30/1984,10.74571429
2/6/1984,10.75571429
2/13/1984,10.76571429
2/20/1984,10.73857143
2/27/1984,10.72857143
3/5/1984,10.67857143
3/12/1984,10.68142857
3/19/1984,10.70857143
3/26/1984,10.77142857
4/2/1984,10.74428571
4/9/1984,10.77285714
4/16/1984,10.80285714
4/23/1984,10.81857143
4/30/1984,10.9
5/7/1984,10.93571429
5/14/1984,11.03142857
5/21/1984,11.03
5/28/1984,11.04857143
6/4/1984,11.02857143
6/11/1984,10.98571429
6/18/1984,11.02
6/25/1984,11.11285714
7/2/1984,11.20428571
7/9/1984,11.26142857
7/16/1984,11.31571429
7/23/1984,11.40142857
7/30/1984,11.48571429
8/6/1984,11.54571429
8/13/1984,11.54428571
8/20/1984,11.54428571
8/27/1984,11.55714286
9/3/1984,11.58857143
9/10/1984,11.77142857
9/17/1984,11.80714286
9/24/1984,11.95142857
10/1/1984,11.93
10/8/1984,11.91
10/15/1984,12.00571429
10/22/1984,12.07571429
10/29/1984,12.06714286
11/5/1984,12.02857143
11/12/1984,11.99857143
11/19/1984,12.04571429
11/26/1984,12.14142857
12/3/1984,12.23
12/10/1984,12.26857143
12/17/1984,12.26
12/24/1984,12.29428571
12/31/1984,12.37142857
1/7/1985,12.45285714
1/14/1985,12.62
1/21/1985,12.67428571
1/28/1985,12.65428571
2/4/1985,12.68857143
2/11/1985,12.82285714
2/18/1985,12.90428571
2/25/1985,13.03714286
3/4/1985,13.02428571
3/11/1985,13.12714286
3/18/1985,13.04285714
3/25/1985,12.68142857
4/1/1985,12.38428571
4/8/1985,12.52
4/15/1985,12.39571429
4/22/1985,12.21
4/29/1985,12.45714286
5/6/1985,12.58714286
5/13/1985,12.56857143
5/20/1985,12.43142857
5/27/1985,12.41857143
6/3/1985,12.47
6/10/1985,12.46285714
6/17/1985,12.50571429
6/24/1985,12.39857143
7/1/1985,12.38428571
7/8/1985,12.36428571
7/15/1985,12.03428571
7/22/1985,11.90142857
7/29/1985,11.93714286
8/5/1985,11.68142857
8/12/1985,12.00857143
8/19/1985,11.86285714
8/26/1985,11.90142857
9/2/1985,11.92714286
9/9/1985,12.18571429
9/16/1985,12.30571429
9/23/1985,12.19285714
9/30/1985,11.78571429
10/7/1985,11.95285714
10/14/1985,12.07857143
10/21/1985,12.08142857
10/28/1985,12.02714286
11/4/1985,12.06428571
11/11/1985,12.14
11/18/1985,12.15571429
11/25/1985,12.08428571
12/2/1985,12.04285714
12/9/1985,12.1
12/16/1985,12.18
12/23/1985,12.18571429
12/30/1985,12.18571429
1/6/1986,12.11428571
1/13/1986,12.13285714
1/20/1986,12.21285714
1/27/1986,12.37428571
2/3/1986,12.34857143
2/10/1986,12.51714286
2/17/1986,12.44571429
2/24/1986,12.32857143
3/3/1986,12.22
3/10/1986,12.49428571
3/17/1986,12.26285714
3/24/1986,12.19142857
3/31/1986,12.31571429
4/7/1986,12.47142857
4/14/1986,12.5
4/21/1986,12.34857143
4/28/1986,12.27142857
5/5/1986,12.38285714
5/12/1986,12.34428571
5/19/1986,12.40142857
5/26/1986,12.57857143
6/2/1986,12.74142857
6/9/1986,12.63285714
6/16/1986,12.53857143
6/23/1986,12.64571429
6/30/1986,12.52857143
7/7/1986,12.37285714
7/14/1986,12.49285714
7/21/1986,12.55714286
7/28/1986,12.55142857
8/4/1986,12.57714286
8/11/1986,12.55285714
8/18/1986,12.56285714
8/25/1986,12.57857143
9/1/1986,12.55
9/8/1986,12.57714286
9/15/1986,12.65571429
9/22/1986,12.69428571
9/29/1986,12.76142857
10/6/1986,12.78
10/13/1986,12.8
10/20/1986,12.81571429
10/27/1986,12.92285714
11/3/1986,12.95571429
11/10/1986,12.99
11/17/1986,13.09142857
11/24/1986,13.15285714
